javascript,1901946,603,5030
java,1608220,397,3473
c#,1359958,306,2560
php,1317336,254,2142
python,1287024,807,6525
android,1233917,253,2260
jquery,970203,104,873
html,860425,257,2078
c++,642221,220,1513
ios,613933,98,925
css,610257,149,1249
mysql,577776,120,1087
sql,515620,142,1265
asp.net,350787,34,328
c,315206,122,817
r,315059,153,1263
ruby-on-rails,311824,28,301
arrays,310409,98,854
node.js,299360,158,1369
.net,289412,53,374
objective-c,288793,5,96
json,275649,81,687
sql-server,272592,66,610
angularjs,259278,17,114
swift,247693,117,929
iphone,220078,6,38
regex,216711,51,478
django,212376,91,802
ruby,208850,13,189
excel,208145,81,728
ajax,203839,28,285
python-3.x,194650,212,1656
angular,191037,136,1341
xml,187995,29,275
asp.net-mvc,184773,29,214
linux,181629,57,453
